account_id,district_name,open_date,statement_frequency,num_customers,credit_cards,loans,loan_amount,loan_payments,loan_term,loan_status,loan_default,cc_payments,max_balance,min_balance
65,Liberec,1996-10-29,monthly,1,0,False,,,,nan,nan,53,85379,600
67,Jindrichuv Hradec,1994-10-19,monthly,1,0,True,165960.0,6915.0,24.0,expired,False,102,134939,700
69,Zlin,1996-01-12,monthly,1,0,False,,,,nan,nan,123,71708,600
70,Mlada Boleslav,1995-02-18,monthly,2,0,False,,,,nan,nan,101,60184,500
71,Hl.m. Praha,1994-03-05,monthly,2,0,False,,,,nan,nan,118,94860,700
73,Olomouc,1993-11-08,monthly,1,0,False,,,,nan,nan,128,89175,400
75,Hl.m. Praha,1995-08-13,monthly,1,0,False,,,,nan,nan,82,49848,700
76,Usti nad Orlici,1996-05-16,monthly,1,1,False,,,,nan,nan,73,49609,200
77,Vyskov,1996-11-19,monthly,1,1,False,,,,nan,nan,52,56325,400
78,Ostrava - mesto,1993-07-07,monthly,1,0,False,,,,nan,nan,137,78733,400
79,Beroun,1996-11-29,monthly,1,1,False,,,,nan,nan,47,27474,600
80,Hradec Kralove,1995-09-27,monthly,2,0,False,,,,nan,nan,75,28082,900
81,Ostrava - mesto,1996-07-18,monthly,1,0,False,,,,nan,nan,74,39080,1000
82,Plzen - mesto,1994-05-03,monthly,1,0,False,,,,nan,nan,144,161574,300
83,Plzen - mesto,1993-04-16,monthly,2,1,False,,,,nan,nan,147,42435,500
85,Frydek - Mistek,1997-03-23,monthly,1,0,False,,,,nan,nan,54,59467,400
86,Brno - mesto,1993-03-07,monthly,2,0,False,,,,nan,nan,141,28700,800
88,Tachov,1996-07-03,monthly,1,0,False,,,,nan,nan,61,27174,300
89,Frydek - Mistek,1997-09-25,monthly,1,0,False,,,,nan,nan,33,39075,600
90,Hl.m. Praha,1994-07-13,monthly,1,0,False,,,,nan,nan,110,74107,500
91,Pelhrimov,1996-11-06,monthly,1,0,False,,,,nan,nan,42,77111,-4188
93,Benesov,1996-06-12,monthly,1,0,False,,,,nan,nan,66,38377,500
95,Hl.m. Praha,1995-03-30,monthly,2,0,False,,,,nan,nan,92,97808,200
96,Frydek - Mistek,1993-02-18,monthly,2,0,False,,,,nan,nan,146,156580,1100
97,Ostrava - mesto,1996-05-05,monthly,2,0,True,102876.0,8573.0,12.0,expired,False,67,67288,900
98,Brno - venkov,1997-05-02,monthly,2,0,False,,,,nan,nan,41,25586,1100
99,Hl.m. Praha,1995-06-27,monthly,1,0,False,,,,nan,nan,93,122885,600
100,Usti nad Labem,1993-12-28,monthly,1,0,False,,,,nan,nan,145,84377,600
101,Jablonec n. Nisou,1996-04-16,monthly,1,0,False,,,,nan,nan,71,81423,1000
102,Praha - zapad,1993-10-16,monthly,1,0,False,,,,nan,nan,118,96777,-7104
103,Chrudim,1996-03-10,monthly,1,0,True,265320.0,7370.0,36.0,current,True,84,124758,-1140
104,Litomerice,1993-04-15,monthly,2,0,False,,,,nan,nan,133,31741,500
105,Tabor,1997-07-10,monthly,1,0,True,352704.0,7348.0,48.0,current,False,30,74694,800
106,Vyskov,1994-11-27,monthly,1,0,False,,,,nan,nan,99,76991,500
107,Zlin,1993-11-05,monthly,1,0,False,,,,nan,nan,152,50612,1000
108,Blansko,1995-03-10,monthly,1,0,False,,,,nan,nan,94,88609,800
109,Blansko,1997-04-20,monthly,1,0,False,,,,nan,nan,70,53624,1100
110,Liberec,1996-07-17,monthly,1,0,True,162576.0,4516.0,36.0,current,False,61,79652,900
112,Kutna Hora,1993-03-12,monthly,2,1,False,,,,nan,nan,141,52895,200
113,Brno - venkov,1996-07-22,monthly,1,0,False,,,,nan,nan,55,32697,600
114,Prostejov,1997-03-14,monthly,1,1,False,,,,nan,nan,39,27332,500
115,Frydek - Mistek,1993-03-19,monthly,1,0,False,,,,nan,nan,158,52047,800
116,Mlada Boleslav,1996-03-21,monthly,2,1,False,,,,nan,nan,68,77466,800
117,Tachov,1993-09-05,monthly,1,0,False,,,,nan,nan,129,32382,900
118,Frydek - Mistek,1997-09-18,monthly,1,0,False,,,,nan,nan,37,40532,600
119,Plzen - jih,1993-05-25,monthly,1,0,False,,,,nan,nan,135,70508,800
121,Brno - venkov,1997-10-11,monthly,1,0,False,,,,nan,nan,39,37504,200
122,Tachov,1996-10-30,monthly,1,0,False,,,,nan,nan,53,86062,900
123,Tabor,1993-03-13,monthly,2,0,False,,,,nan,nan,135,27494,200
124,Brno - venkov,1997-12-28,monthly,1,0,False,,,,nan,nan,29,26468,800
126,Kolin,1993-10-23,monthly,1,0,False,,,,nan,nan,140,118219,200
127,Rokycany,1994-02-02,monthly,1,1,False,,,,nan,nan,119,23673,600
128,Benesov,1993-02-19,monthly,1,1,False,,,,nan,nan,208,86413,300
129,Ostrava - mesto,1997-10-01,monthly,2,0,False,,,,nan,nan,31,29052,600
130,Brno - mesto,1997-02-12,monthly,1,1,False,,,,nan,nan,42,35067,300
131,Usti nad Orlici,1995-06-13,monthly,1,1,False,,,,nan,nan,90,48212,5496
134,Chomutov,1997-12-10,monthly,1,0,False,,,,nan,nan,27,47697,300
135,Prerov,1993-06-15,monthly,1,0,False,,,,nan,nan,161,75906,700
136,Ostrava - mesto,1996-05-14,monthly,1,0,False,,,,nan,nan,60,32170,600
137,Karvina,1996-07-19,monthly,1,0,False,,,,nan,nan,59,81958,900
138,Domazlice,1995-09-19,monthly,2,1,False,,,,nan,nan,15,21200,1100
140,Karlovy Vary,1996-06-25,monthly,1,0,False,,,,nan,nan,42,84824,300
141,Louny,1996-03-06,monthly,2,0,False,,,,nan,nan,69,89665,900
142,Trutnov,1993-02-15,monthly,2,0,False,,,,nan,nan,137,30167,900
143,Tabor,1996-11-27,monthly,1,0,False,,,,nan,nan,47,27564,500
145,Tachov,1996-01-03,monthly,1,0,False,,,,nan,nan,94,68969,1100
146,Kladno,1993-09-02,monthly,1,1,False,,,,nan,nan,129,38814,500
148,Mlada Boleslav,1993-06-21,monthly,1,0,False,,,,nan,nan,129,27206,500
149,Hradec Kralove,1997-11-16,monthly,1,0,False,,,,nan,nan,44,58484,300
150,Opava,1995-03-16,monthly,1,0,False,,,,nan,nan,130,98752,1900
151,Sumperk,1993-09-06,monthly,2,0,False,,,,nan,nan,147,34425,1000
152,Hl.m. Praha,1996-04-12,monthly,2,0,False,,,,nan,nan,76,35746,1100
153,Vsetin,1993-09-19,monthly,1,1,False,,,,nan,nan,129,53039,400
154,Nachod,1994-06-21,monthly,1,0,False,,,,nan,nan,111,96137,900
155,Jihlava,1995-11-07,monthly,1,0,False,,,,nan,nan,95,38532,300
156,Zlin,1997-10-22,monthly,1,0,False,,,,nan,nan,25,21707,1000
157,Praha - zapad,1997-03-28,monthly,1,0,False,,,,nan,nan,40,39576,200
158,Litomerice,1995-03-15,monthly,2,1,False,,,,nan,nan,91,83034,700
159,Karvina,1997-02-11,monthly,1,0,False,,,,nan,nan,46,103034,800
160,Cheb,1993-09-04,monthly,1,0,False,,,,nan,nan,152,113217,400
161,Plzen - sever,1994-07-04,monthly,1,1,False,,,,nan,nan,109,29469,900
162,Prostejov,1993-08-25,monthly,2,0,False,,,,nan,nan,125,40827,200
163,Sokolov,1993-01-27,monthly,1,0,False,,,,nan,nan,141,43752,900
164,Prostejov,1996-09-13,monthly,1,0,False,,,,nan,nan,32,67994,200
165,Klatovy,1993-06-01,monthly,2,0,False,,,,nan,nan,135,62489,1000
166,Pelhrimov,1996-08-20,monthly,1,0,False,,,,nan,nan,53,31842,800
168,Tachov,1993-04-27,monthly,2,0,False,,,,nan,nan,133,24794,500
169,Kladno,1995-09-28,monthly,1,0,False,,,,nan,nan,82,78256,500
170,Kromeriz,1996-07-02,monthly,1,0,False,,,,nan,nan,62,79183,1000
171,Nachod,1996-06-08,monthly,1,0,False,,,,nan,nan,63,33192,500
172,Rakovnik,1993-08-30,monthly,2,0,False,,,,nan,nan,131,78889,700
173,Zdar nad Sazavou,1993-11-26,monthly,2,0,True,104808.0,8734.0,12.0,expired,False,156,87882,500
174,Usti nad Orlici,1996-09-04,monthly,1,1,False,,,,nan,nan,57,21345,900
177,Hl.m. Praha,1997-09-26,monthly,1,0,False,,,,nan,nan,32,75171,800
178,Kromeriz,1997-09-06,monthly,1,0,False,,,,nan,nan,33,18082,1000
181,Tabor,1996-06-11,monthly,1,0,False,,,,nan,nan,65,52501,200
182,Pardubice,1996-08-24,monthly,1,0,False,,,,nan,nan,6,16900,200
183,Hradec Kralove,1993-12-12,monthly,1,0,False,,,,nan,nan,125,63967,200
184,Vsetin,1996-02-21,monthly,1,0,False,,,,nan,nan,70,86912,600
185,Ceska Lipa,1997-07-04,monthly,1,0,False,,,,nan,nan,37,79865,1000
187,Kolin,1993-03-28,monthly,1,0,False,,,,nan,nan,135,26365,200
188,Brno - mesto,1993-04-20,monthly,1,0,False,,,,nan,nan,139,100010,700
189,Sumperk,1997-04-16,monthly,1,0,False,,,,nan,nan,42,76341,700
190,Ostrava - mesto,1995-03-02,monthly,1,0,False,,,,nan,nan,97,69474,500
191,Usti nad Labem,1997-03-17,monthly,1,0,False,,,,nan,nan,43,126097,600
192,Brno - venkov,1993-01-08,monthly,1,1,False,,,,nan,nan,139,39284,300
193,Jesenik,1996-12-22,monthly,2,0,False,,,,nan,nan,52,39963,300
194,Chrudim,1996-08-01,monthly,1,0,False,,,,nan,nan,72,38894,400
195,Karvina,1997-02-27,monthly,2,0,False,,,,nan,nan,46,56940,600
196,Kladno,1993-11-14,monthly,1,0,False,,,,nan,nan,137,86238,400
197,Hl.m. Praha,1993-02-25,monthly,1,0,False,,,,nan,nan,144,76344,800
198,Karvina,1993-10-25,monthly,1,0,False,,,,nan,nan,121,30570,900
199,Karvina,1996-10-26,monthly,1,0,False,,,,nan,nan,49,29612,700
200,Pelhrimov,1994-07-03,monthly,1,0,False,,,,nan,nan,114,125341,900
201,Vyskov,1994-11-02,monthly,1,0,False,,,,nan,nan,104,62199,600
204,Bruntal,1996-01-13,monthly,1,0,False,,,,nan,nan,67,27125,600
205,Hl.m. Praha,1997-10-08,monthly,1,0,False,,,,nan,nan,37,45527,1000
206,Trebic,1995-04-08,monthly,2,0,False,,,,nan,nan,119,42635,1100
207,Benesov,1993-07-25,monthly,1,0,False,,,,nan,nan,155,36471,900
208,Brno - mesto,1996-03-27,monthly,1,1,False,,,,nan,nan,71,61131,700
209,Litomerice,1996-11-24,monthly,1,0,False,,,,nan,nan,65,45817,900
210,Rychnov nad Kneznou,1996-03-17,monthly,1,0,False,,,,nan,nan,69,56027,1000
211,Plzen - sever,1997-07-19,monthly,1,0,False,,,,nan,nan,46,151101,800
213,Opava,1995-08-29,monthly,1,0,False,,,,nan,nan,81,87659,1000
214,Domazlice,1997-03-09,monthly,2,0,False,,,,nan,nan,39,17518,500
215,Tachov,1997-11-25,monthly,2,0,False,,,,nan,nan,23,19113,1000
216,Louny,1994-05-16,monthly,1,0,False,,,,nan,nan,108,36351,500
217,Vsetin,1995-01-20,monthly,1,0,False,,,,nan,nan,97,48581,800
218,Frydek - Mistek,1996-02-06,monthly,1,0,False,,,,nan,nan,104,146909,-2172
219,Plzen - sever,1995-09-06,monthly,1,1,False,,,,nan,nan,80,81085,500
220,Olomouc,1993-04-09,monthly,1,0,False,,,,nan,nan,133,36356,400
221,Prachatice,1996-10-30,monthly,1,1,False,,,,nan,nan,54,69998,300
222,Litomerice,1993-03-15,monthly,1,0,False,,,,nan,nan,140,106492,500
223,Most,1995-06-13,monthly,1,0,False,,,,nan,nan,64,76631,800
224,Cesky Krumlov,1996-10-27,monthly,1,0,False,,,,nan,nan,50,28997,1100
225,Hl.m. Praha,1993-07-28,monthly,2,1,False,,,,nan,nan,179,92940,1000
226,Karvina,1997-02-23,monthly,1,0,True,109344.0,9112.0,12.0,current,False,55,80433,1000
227,Plzen - jih,1995-03-28,monthly,1,0,False,,,,nan,nan,91,119200,700
228,Kolin,1993-09-28,monthly,1,0,False,,,,nan,nan,129,81057,800
229,Hl.m. Praha,1997-06-07,monthly,1,0,False,,,,nan,nan,39,32493,1100
230,Hl.m. Praha,1996-02-26,monthly,2,0,False,,,,nan,nan,70,66172,600
231,Domazlice,1995-04-03,monthly,2,1,False,,,,nan,nan,91,21913,900
232,Jicin,1997-11-29,monthly,1,0,False,,,,nan,nan,28,84657,700
234,Opava,1993-07-15,monthly,2,0,False,,,,nan,nan,127,29550,500
235,Usti nad Labem,1993-10-06,monthly,1,0,False,,,,nan,nan,127,30633,1000
236,Olomouc,1996-03-16,monthly,2,1,False,,,,nan,nan,11,24700,900
237,Svitavy,1994-03-25,monthly,1,0,False,,,,nan,nan,111,19487,900
238,Kutna Hora,1993-08-15,monthly,1,1,False,,,,nan,nan,125,21972,500
240,Olomouc,1997-04-28,monthly,2,0,False,,,,nan,nan,42,67915,300
241,Cesky Krumlov,1996-09-29,monthly,1,0,False,,,,nan,nan,69,41009,500
242,Jesenik,1996-08-29,monthly,1,1,False,,,,nan,nan,58,72333,500
244,Karlovy Vary,1993-02-08,monthly,1,0,False,,,,nan,nan,175,62976,800
245,Znojmo,1993-11-25,monthly,1,0,False,,,,nan,nan,148,135093,-1211
246,Znojmo,1997-12-20,monthly,2,0,False,,,,nan,nan,23,19310,700
248,Hl.m. Praha,1995-04-02,monthly,1,0,False,,,,nan,nan,91,74703,700
249,Plzen - sever,1996-12-03,monthly,1,0,False,,,,nan,nan,52,64867,600
250,Breclav,1997-05-10,monthly,1,0,False,,,,nan,nan,46,52311,500
251,Ostrava - mesto,1996-04-06,monthly,1,0,False,,,,nan,nan,74,61297,900
252,Prachatice,1996-12-26,monthly,1,0,False,,,,nan,nan,45,52630,1000
253,Nachod,1995-12-05,monthly,1,0,False,,,,nan,nan,75,106815,-1213
255,Frydek - Mistek,1996-11-03,monthly,1,1,False,,,,nan,nan,53,101534,900
256,Litomerice,1995-05-14,monthly,1,1,False,,,,nan,nan,87,76527,1100
257,Praha - zapad,1995-11-05,monthly,1,0,False,,,,nan,nan,83,136264,900
258,Zlin,1997-07-09,monthly,1,0,False,,,,nan,nan,37,38349,900
259,Benesov,1993-10-28,monthly,1,0,False,,,,nan,nan,122,37228,600
260,Karlovy Vary,1995-10-14,monthly,2,0,False,,,,nan,nan,92,56754,600
261,Brno - mesto,1996-10-07,monthly,1,0,False,,,,nan,nan,57,26402,200
262,Prerov,1996-01-27,monthly,1,0,False,,,,nan,nan,11,23400,200
264,Cesky Krumlov,1996-02-09,monthly,1,1,False,,,,nan,nan,92,44212,900
265,Prachatice,1996-07-05,monthly,2,0,False,,,,nan,nan,61,28571,600
266,Pardubice,1994-05-11,monthly,1,0,False,,,,nan,nan,114,137653,400
267,Louny,1995-04-26,monthly,2,1,False,,,,nan,nan,85,30016,500
268,Beroun,1996-05-29,monthly,1,1,False,,,,nan,nan,65,124186,500
269,Beroun,1996-08-30,monthly,1,0,False,,,,nan,nan,72,43387,700
270,Plzen - jih,1995-01-23,monthly,2,0,False,,,,nan,nan,96,116900,1100
271,Hl.m. Praha,1996-08-13,monthly,1,0,False,,,,nan,nan,59,62743,400
272,Praha - zapad,1996-10-23,monthly,1,1,False,,,,nan,nan,53,57855,1100
274,Sumperk,1993-08-20,monthly,1,0,False,,,,nan,nan,132,68094,300
275,Rokycany,1996-01-02,monthly,1,0,False,,,,nan,nan,73,22668,800
276,Louny,1997-12-08,monthly,1,0,True,160920.0,4470.0,36.0,current,False,27,74906,700
278,Opava,1996-04-08,monthly,1,0,False,,,,nan,nan,67,97478,700
279,Most,1993-04-14,monthly,2,0,False,,,,nan,nan,133,32821,400
280,Klatovy,1993-01-23,monthly,1,1,False,,,,nan,nan,159,69718,300
281,Hl.m. Praha,1996-10-27,monthly,2,0,False,,,,nan,nan,70,72297,900
282,Jesenik,1997-05-12,monthly,2,0,False,,,,nan,nan,39,69350,200
283,Chrudim,1996-04-18,monthly,1,0,False,,,,nan,nan,61,30907,800
284,Brno - mesto,1997-07-18,monthly,1,0,False,,,,nan,nan,39,66377,900
285,Pelhrimov,1995-05-08,monthly,2,0,False,,,,nan,nan,91,105299,600
286,Novy Jicin,1996-03-27,monthly,2,0,False,,,,nan,nan,68,74623,300
287,Jindrichuv Hradec,1993-10-27,monthly,1,0,False,,,,nan,nan,121,27025,600
288,Klatovy,1995-03-18,monthly,1,0,False,,,,nan,nan,87,37478,900
289,Hl.m. Praha,1994-03-17,monthly,1,0,False,,,,nan,nan,117,69171,300
290,Breclav,1993-12-02,monthly,1,0,True,123696.0,2577.0,48.0,expired,False,160,144053,300
291,Melnik,1997-06-08,monthly,1,0,False,,,,nan,nan,67,168515,7419
292,Semily,1997-02-26,monthly,2,0,False,,,,nan,nan,43,29120,400
293,Hl.m. Praha,1997-05-04,monthly,2,0,False,,,,nan,nan,43,50469,600
294,Melnik,1997-01-05,monthly,1,0,False,,,,nan,nan,49,79589,700
295,Zdar nad Sazavou,1997-11-23,monthly,1,1,False,,,,nan,nan,27,64950,200
296,Semily,1996-02-14,monthly,1,0,False,,,,nan,nan,75,24955,300
297,Ostrava - mesto,1996-09-08,monthly,1,0,False,,,,nan,nan,99,65624,200
298,Jablonec n. Nisou,1997-12-02,monthly,2,0,False,,,,nan,nan,30,46829,1100
299,Vsetin,1993-04-05,monthly,1,0,False,,,,nan,nan,181,154088,600
300,Hl.m. Praha,1993-06-23,monthly,2,0,False,,,,nan,nan,130,76942,400
301,Prostejov,1995-09-10,monthly,2,0,False,,,,nan,nan,75,24988,300
302,Melnik,1996-05-09,monthly,1,0,False,,,,nan,nan,65,37845,6438
303,Novy Jicin,1996-07-25,monthly,1,0,True,112752.0,3132.0,36.0,current,False,62,72230,900
304,Kladno,1997-03-20,monthly,1,0,False,,,,nan,nan,43,95914,700
305,Chomutov,1996-10-18,monthly,1,1,False,,,,nan,nan,49,23264,200
306,Jindrichuv Hradec,1993-06-08,monthly,1,0,False,,,,nan,nan,150,34237,1000
307,Plzen - mesto,1997-08-07,monthly,1,0,False,,,,nan,nan,35,74048,700
308,Trebic,1995-10-16,monthly,1,0,False,,,,nan,nan,29,40581,400
309,Ceske Budejovice,1997-04-25,monthly,1,1,True,91248.0,1901.0,48.0,current,False,42,59726,900
311,Svitavy,1997-08-08,monthly,2,0,False,,,,nan,nan,38,68833,800
312,Usti nad Labem,1996-01-03,monthly,1,0,False,,,,nan,nan,80,74047,500
313,Opava,1996-07-06,monthly,2,0,False,,,,nan,nan,61,27975,700
315,Jicin,1997-12-08,monthly,1,0,False,,,,nan,nan,7,24900,400
316,Uherske Hradiste,1997-05-08,monthly,1,0,False,,,,nan,nan,69,70011,600
317,Sumperk,1993-03-10,monthly,1,0,False,,,,nan,nan,141,43822,800
318,Liberec,1994-09-16,monthly,1,0,False,,,,nan,nan,134,46629,200
320,Pardubice,1997-01-23,monthly,1,0,False,,,,nan,nan,86,59073,800
321,Pardubice,1993-11-11,monthly,1,1,False,,,,nan,nan,120,38693,1100
322,Hl.m. Praha,1993-02-20,monthly,2,0,False,,,,nan,nan,144,59676,1000
323,Usti nad Orlici,1997-02-23,monthly,2,0,False,,,,nan,nan,41,36131,200
324,Hl.m. Praha,1996-08-23,monthly,1,0,False,,,,nan,nan,53,40672,500
325,Prerov,1996-10-06,monthly,1,0,False,,,,nan,nan,55,27579,300
326,Trebic,1997-08-06,monthly,1,1,False,,,,nan,nan,35,26543,5376
327,Brno - mesto,1993-06-02,monthly,1,0,False,,,,nan,nan,143,82657,700
328,Hl.m. Praha,1997-09-18,monthly,2,0,False,,,,nan,nan,29,28582,600
329,Beroun,1996-10-19,monthly,1,0,False,,,,nan,nan,53,86907,1100
330,Havlickuv Brod,1996-11-24,monthly,2,0,True,331584.0,6908.0,48.0,current,False,51,73943,400
331,Znojmo,1995-10-02,monthly,1,0,False,,,,nan,nan,79,32991,1100
332,Liberec,1996-01-12,monthly,1,0,False,,,,nan,nan,91,41712,300
333,Opava,1996-12-23,monthly,1,1,False,,,,nan,nan,45,23460,700
334,Hl.m. Praha,1993-05-24,monthly,1,1,False,,,,nan,nan,138,102027,500
335,Ostrava - mesto,1996-01-20,monthly,1,1,False,,,,nan,nan,68,33757,1000
336,Uherske Hradiste,1995-10-16,monthly,1,0,False,,,,nan,nan,78,66275,500
337,Pelhrimov,1995-11-25,monthly,2,0,False,,,,nan,nan,82,136965,200
338,Semily,1995-11-18,monthly,1,0,False,,,,nan,nan,80,27654,700
340,Hl.m. Praha,1993-11-03,monthly,2,0,False,,,,nan,nan,125,47681,1000
341,Plzen - sever,1996-11-19,monthly,1,0,False,,,,nan,nan,52,48204,600
342,Zlin,1996-10-13,monthly,1,0,False,,,,nan,nan,49,24092,1000
343,Pisek,1994-04-26,monthly,1,0,False,,,,nan,nan,132,32201,900
344,Brno - mesto,1993-12-01,monthly,1,0,True,100980.0,1683.0,60.0,current,False,128,64600,600
345,Kolin,1993-11-20,monthly,1,0,False,,,,nan,nan,132,84065,200
346,Litomerice,1993-01-11,monthly,1,0,False,,,,nan,nan,146,91954,800
347,Znojmo,1993-12-13,monthly,1,1,True,187224.0,7801.0,24.0,expired,True,150,142312,-2763
348,Klatovy,1995-11-15,monthly,1,0,False,,,,nan,nan,76,79827,700
349,Olomouc,1997-06-08,monthly,2,0,True,42816.0,3568.0,12.0,current,False,51,31617,1100
350,Pardubice,1996-10-13,monthly,1,0,False,,,,nan,nan,51,30368,500
351,Svitavy,1997-02-17,monthly,1,0,False,,,,nan,nan,77,62632,600
352,Most,1994-07-04,monthly,1,0,False,,,,nan,nan,109,31554,200
353,Karlovy Vary,1995-08-30,monthly,1,0,False,,,,nan,nan,77,73820,1000
354,Kromeriz,1993-10-28,monthly,1,0,False,,,,nan,nan,137,89881,700
356,Karvina,1996-03-12,monthly,1,0,False,,,,nan,nan,68,79901,1000
357,Strakonice,1996-03-10,monthly,1,0,False,,,,nan,nan,63,25731,1000
358,Pribram,1993-12-09,monthly,1,1,False,,,,nan,nan,131,30149,600
359,Praha - zapad,1994-12-11,monthly,1,0,False,,,,nan,nan,93,28564,400
360,Ceska Lipa,1996-05-14,monthly,1,0,False,,,,nan,nan,63,82923,1100
361,Trutnov,1993-02-27,monthly,1,0,False,,,,nan,nan,142,84469,600
362,Cesky Krumlov,1993-04-04,monthly,1,0,False,,,,nan,nan,170,61574,900
363,Hl.m. Praha,1994-05-06,monthly,1,0,False,,,,nan,nan,141,162310,1000
364,Hl.m. Praha,1997-01-20,monthly,2,0,False,,,,nan,nan,43,27809,1100
365,Ostrava - mesto,1993-12-12,monthly,1,1,False,,,,nan,nan,128,60311,200
366,Hl.m. Praha,1996-10-23,monthly,2,0,False,,,,nan,nan,54,82335,200
